District,State,Days,WetDays,ObsMean,ServedMean,RawRMSE,RMSE,Bias,WetF1,Recall,Precision,P90Err,MaxErr
Khurda,Odisha,365,93,5.1,3.0,14.12,12.64,-2.09,0.607,0.731,0.519,15.86,129.7
Jamtara,Jharkhand,365,50,2.22,5.69,11.17,12.62,3.47,0.393,0.7,0.273,18.66,99.2
Chandauli,Uttar Pradesh,365,64,3.39,4.06,13.89,12.42,0.66,0.515,0.688,0.411,16.97,115.2
Karauli,Rajasthan,365,63,3.73,1.8,12.78,12.28,-1.93,0.42,0.476,0.375,14.15,87.5
Godda,Jharkhand,365,96,4.66,4.36,13.72,12.13,-0.29,0.636,0.729,0.565,14.79,130.8
Burhanpur,Madhya Pradesh,365,73,4.41,3.38,12.54,12.13,-1.04,0.582,0.658,0.522,14.86,88.4
Nabarangpur,Odisha,365,59,3.06,4.17,13.69,12.09,1.1,0.561,0.932,0.401,11.82,154.8
Chitrakoot,Uttar Pradesh,365,64,3.66,3.57,13.68,12.07,-0.09,0.472,0.656,0.368,16.85,73.1
Kullu,Himachal Pradesh,365,67,3.83,1.54,17.38,12.03,-2.3,0.165,0.164,0.167,14.18,117.3
Chhatarpur,Madhya Pradesh,365,99,4.7,5.62,12.28,11.93,0.92,0.654,0.707,0.609,19.66,65.8
Devbhoomi Dwarka,Gujarat,365,71,3.82,2.52,13.0,11.93,-1.29,0.518,0.606,0.453,12.31,109.2
Gwalior,Madhya Pradesh,365,60,3.54,1.85,12.97,11.89,-1.69,0.432,0.5,0.38,12.24,94.7
Gariaband,Chhattisgarh,365,95,4.5,3.82,12.74,11.89,-0.68,0.67,0.737,0.614,13.35,112.1
Nellore,Andhra Pradesh,365,52,2.79,1.7,15.48,11.78,-1.09,0.248,0.308,0.208,9.15,108.2
Sheikhpura,Bihar,365,87,4.3,4.51,12.74,11.77,0.21,0.628,0.747,0.542,17.61,74.5
Sepahijala,Tripura,365,72,3.34,7.0,11.54,11.77,3.66,0.546,0.861,0.4,19.1,66.1
